,category,medicine_name,therapeutic_area,common_name,active_substance,patient_safety,authorisation_status,additional_monitoring,generic,biosimilar,conditional_approval,exceptional_circumstances,accelerated_assessment,orphan_medicine,marketing_authorisation_holder_company_name,pharmacotherapeutic_group,revision_number
0,human,Adcetris,"Lymphoma, Non-Hodgkin;  Hodgkin Disease",brentuximab vedotin,brentuximab vedotin,False,authorised,False,False,False,False,False,False,True,Takeda Pharma A/S,Antineoplastic agents,34.0
1,human,Nityr,Tyrosinemias,nitisinone,nitisinone,False,authorised,False,True,False,False,False,False,False,Cycle Pharmaceuticals (Europe) Ltd,"Other alimentary tract and metabolism products,",4.0
2,human,Ebvallo,Lymphoproliferative Disorders,tabelecleucel,tabelecleucel,False,authorised,True,False,False,False,True,False,True,Pierre Fabre Medicament,,2.0
3,human,Ronapreve,COVID-19 virus infection,"casirivimab, imdevimab","casirivimab, imdevimab",False,authorised,True,False,False,False,False,False,False,Roche Registration GmbH ,"Immune sera and immunoglobulins,",3.0
4,human,Cosentyx,"Arthritis, Psoriatic;  Psoriasis;  Spondylitis, Ankylosing",secukinumab,secukinumab,False,authorised,False,False,False,False,False,False,False,Novartis Europharm Limited,Immunosuppressants,30.0
5,human,Caprelsa,Thyroid Neoplasms,vandetanib,vandetanib,False,authorised,False,False,False,True,False,False,False,Genzyme Europe BV,Antineoplastic and immunomodulating agents,24.0
6,human,Hukyndra,"Arthritis, Psoriatic;  Arthritis, Juvenile Rheumatoid;  Arthritis, Rheumatoid;  Colitis, Ulcerative;  Crohn Disease;  Hidradenitis Suppurativa;  Psoriasis;  Spondylitis, Ankylosing;  Uveitis",adalimumab,adalimumab,False,authorised,False,False,True,False,False,False,False,Stada Arzneimittel AG,Immunosuppressants,4.0
7,human,Leflunomide medac,"Arthritis, Rheumatoid",leflunomide,leflunomide,False,authorised,False,True,False,False,False,False,False,medac Gesellschaft für klinische Spezialpräparate mbH,Selective immunosuppressants,18.0
8,human,Circadin,Sleep Initiation and Maintenance Disorders,melatonin,melatonin,False,authorised,False,False,False,False,False,False,False,RAD Neurim Pharmaceuticals EEC SARL,"Psycholeptics,",33.0
9,human,Omidria,"Lens Implantation, Intraocular;  Pain, Postoperative","phenylephrine, ketorolac","ketorolac, phenylephrine",False,authorised,False,False,False,False,False,False,False,Rayner Surgical (Ireland) Limited,Ophthalmologicals,7.0
10,human,Olanzapine Apotex,Schizophrenia;  Bipolar Disorder,olanzapine,olanzapine,False,authorised,False,True,False,False,False,False,False,Apotex Europe BV,"Psycholeptics,",13.0
11,human,Rizmoic,Constipation,naldemedine,naldemedine tosilate,False,authorised,True,False,False,False,False,False,False,Shionogi B.V.,"Drugs for constipation, Peripheral opioid receptor antagonists",8.0
12,human,Rivaroxaban Mylan,Venous Thromboembolism;  Pulmonary Embolism;  Acute Coronary Syndrome;  Stroke;  Coronary Artery Disease;  Peripheral Arterial Disease;  Atrial Fibrillation,rivaroxaban,rivaroxaban,False,authorised,False,True,False,False,False,False,False,Mylan Ireland Limited,Antithrombotic agents,1.0
13,human,Arava,"Arthritis, Rheumatoid;  Arthritis, Psoriatic",leflunomide,leflunomide,False,authorised,False,False,False,False,False,False,False,Sanofi-aventis Deutschland GmbH,Immunosuppressants,40.0
14,human,Vimpat,Epilepsy,lacosamide,lacosamide,False,authorised,False,False,False,False,False,False,False,UCB Pharma SA,"Antiepileptics,",44.0
15,human,Stivarga,Colorectal Neoplasms,regorafenib,regorafenib,False,authorised,False,False,False,False,False,False,False,Bayer Pharma AG,"Antineoplastic agents, Protein kinase inhibitors",20.0
16,human,Briviact (in Italy: Nubriveo),Epilepsy,brivaracetam,brivaracetam,False,authorised,False,False,False,False,False,False,False,UCB Pharma SA,"Antiepileptics,",19.0
17,human,Evicel,"Hemostasis, Surgical","human fibrinogen, human thrombin","human fibrinogen, human thrombin",False,authorised,False,False,False,False,False,False,False,Omrix Biopharmaceuticals N. V.,Antihemorrhagics,17.0
18,human,Prevymis,Cytomegalovirus Infections,letermovir,letermovir,False,authorised,False,False,False,False,False,False,True,Merck Sharp & Dohme B.V.,Antivirals for systemic use,14.0
19,human,Abiraterone Krka,Prostatic Neoplasms,abiraterone acetate,abiraterone acetate,False,authorised,False,True,False,False,False,False,False,"Krka, d.d., Novo mesto",Endocrine therapy,2.0
20,human,Fetcroja,Gram-Negative Bacterial Infections,cefiderocol,cefiderocol sulfate tosilate,False,authorised,True,False,False,False,False,False,False,Shionogi B.V.,"Antibacterials for systemic use,",5.0
21,human,Senshio,Postmenopause,ospemifene,ospemifene,False,authorised,True,False,False,False,False,False,False,Shionogi B.V.,"Sex hormones and modulators of the genital system,",13.0
22,human,Mulpleo (previously Lusutrombopag Shionogi),Thrombocytopenia,lusutrombopag,lusutrombopag,False,authorised,True,False,False,False,False,False,False,Shionogi B.V.,Antihemorrhagics,8.0
23,human,Kauliv,"Osteoporosis;  Osteoporosis, Postmenopausal",teriparatide,teriparatide,False,authorised,True,False,True,False,False,False,False,Strides Pharma (Cyprus) Limited,Calcium homeostasis,
24,human,Tecentriq,"Carcinoma, Transitional Cell;  Carcinoma, Non-Small-Cell Lung;  Urologic Neoplasms;  Breast Neoplasms;  Small Cell Lung Carcinoma",atezolizumab,atezolizumab,False,authorised,False,False,False,False,False,False,False,Roche Registration GmbH,Antineoplastic agents,21.0
25,human,Paxlovid,COVID-19 virus infection,"nirmatrelvir, ritonavir","nirmatrelvir, ritonavir",False,authorised,False,False,False,False,False,False,False,Pfizer Europe MA EEIG,,10.0
26,human,Tevagrastim,Neutropenia;  Hematopoietic Stem Cell Transplantation;  Cancer,filgrastim,filgrastim,False,authorised,False,False,True,False,False,False,False,Teva GmbH,"Immunostimulants,",16.0
27,human,Tecvayli,Multiple Myeloma,teclistamab,teclistamab,False,authorised,True,False,False,True,False,False,False,Janssen-Cilag International N.V.,Antineoplastic agents,
28,human,Ecansya (previously Capecitabine Krka),Colonic Neoplasms;  Breast Neoplasms;  Colorectal Neoplasms;  Stomach Neoplasms,capecitabine,capecitabine,False,authorised,False,True,False,False,False,False,False,"Krka, d.d., Novo mesto",Antineoplastic agents,14.0
29,human,SomaKit TOC,Neuroendocrine Tumors;  Radionuclide Imaging,edotreotide,edotreotide,False,authorised,False,False,False,False,False,False,True,Advanced Accelerator Applications,Diagnostic radiopharmaceuticals,14.0
30,human,Tivicay,HIV Infections,dolutegravir,dolutegravir,False,authorised,False,False,False,False,False,False,False,ViiV Healthcare BV,Antivirals for systemic use,33.0
31,human,Hemlibra,Hemophilia A,emicizumab,emicizumab,False,authorised,False,False,False,False,False,True,False,Roche Registration Limited,Antihemorrhagics,13.0
32,human,Veyvondi,von Willebrand Diseases,vonicog alfa,vonicog alfa,False,authorised,True,False,False,False,False,False,False,Baxalta Innovations GmbH,Antihemorrhagics,6.0
33,human,Cotellic,Melanoma,cobimetinib,cobimetinib hemifumarate,False,authorised,False,False,False,False,False,False,False,Roche Registration GmbH,Antineoplastic agents,14.0
